IN	R	M	N	B
2	146	138	499716	0
5	146	85	499769	0
3	146	141	499713	0
1	168	137	499695	0
1	168	137	499695	0
2	146	138	499716	0
3	146	141	499713	0
5	146	85	499769	0
4	146	103	499751	0
4	146	103	499751	0
0	146	168	499686	0
0	146	168	499686	0
1	165	99	499736	0
4	152	31	499817	0
3	165	26	499809	0
5	165	66	499769	0
2	152	2	499846	0
1	165	99	499736	0
0	151	164	499684	1
3	151	164	499684	1
5	165	66	499769	0
4	165	50	499785	0
0	151	164	499684	1
2	152	2	499846	0
0	151	167	499682	0
1	151	167	499682	0
4	167	119	499714	0
3	167	146	499687	0
2	167	147	499686	0
0	167	151	499682	0
5	167	113	499720	0
3	167	149	499684	0
1	167	134	499699	0
2	151	112	499737	0
5	151	81	499768	0
4	151	21	499828	0
0	161	143	499695	1
1	162	91	499747	0
3	162	32	499806	0
2	161	111	499727	1
4	144	84	499772	0
1	161	143	499695	1
0	144	162	499694	0
5	144	32	499824	0
3	144	115	499741	0
2	144	36	499820	0
4	162	28	499810	0
5	144	117	499739	0
0	122	143	499735	0
1	142	110	499747	1
2	122	50	499828	0
3	142	92	499765	1
4	142	118	499739	1
5	122	131	499747	0
2	142	42	499815	1
0	142	121	499736	1
3	142	63	499794	1
1	142	98	499759	1
4	122	116	499762	0
5	122	94	499784	0
0	167	178	499655	0
1	167	163	499670	0
2	167	42	499791	0
3	167	177	499656	0
4	167	11	499822	0
5	167	11	499822	0
0	178	167	499655	0
4	167	176	499657	0
2	178	148	499674	0
1	178	131	499691	0
3	167	152	499681	0
5	167	39	499794	0
0	171	189	499640	0
1	171	151	499678	0
3	189	32	499779	0
2	189	160	499651	0
4	171	154	499675	0
5	171	69	499760	0
0	171	189	499640	0
1	189	169	499642	0
2	189	171	499640	0
3	189	79	499732	0
4	189	41	499770	0
5	171	58	499771	0
0	173	142	499685	0
1	173	24	499803	0
3	142	67	499791	0
4	173	49	499778	0
5	173	30	499797	0
2	173	142	499685	0
0	173	142	499685	0
1	142	120	499738	0
2	142	137	499721	0
3	173	68	499759	0
4	173	4	499823	0
5	142	173	499685	0
0	145	175	499680	0
1	175	62	499763	0
4	145	124	499731	0
3	175	106	499719	0
2	145	6	499849	0
5	145	68	499787	0
0	145	175	499680	0
1	175	102	499723	0
2	175	7	499818	0
3	175	144	499681	0
4	175	38	499787	0
5	175	27	499798	0
0	149	171	499680	0
1	149	52	499799	0
3	171	51	499778	0
2	171	101	499728	0
4	149	60	499791	0
5	149	73	499778	0
0	149	171	499680	0
1	171	59	499770	0
3	171	51	499778	0
2	149	12	499839	0
5	149	146	499705	0
4	171	140	499689	0
0	159	177	499664	0
1	177	158	499665	0
2	177	73	499750	0
3	177	96	499727	0
4	159	106	499735	0
5	177	1	499822	0
0	177	159	499664	0
1	159	134	499707	0
2	177	73	499750	0
3	159	173	499668	0
4	159	106	499735	0
5	177	92	499731	0
0	157	165	499678	0
1	165	12	499823	0
2	157	164	499679	0
4	157	148	499695	0
5	165	80	499755	0
3	157	79	499764	0
0	165	157	499678	0
1	157	20	499823	0
